pinyin,english,lesson,chinese
Xià; xià,GT: summer,Time 4,夏
dōng; Dōng; dōng,GT: winter,Time 4,冬
Qiū; qiū; qiū,GT: autumn,Time 4,秋
Jì; jì,GT: season,Time 4,季
Ào; ào,GT: Australia,Time 4,澳
yà,GT: Asia,Time 4,亚
jì jié,GT: season,Time 4,季节
Ào dà lì yà,GT: Australia,Time 4,澳大利亚
yuè lái yuè,GT: More,Time 4,越来越
qián tiān,GT: The day before yesterday,Time 4,前天
hòu tiān,GT: acquired,Time 4,后天
dǔ chē,GT: Traffic jam,Time 4,堵车
dà gài,GT: probably,Time 4,大概
zhǔn shí,GT: on time,Time 4,准时
gāng,GT: just,Time 4,刚
dǔ,GT: Blocking,Time 4,堵
gài,GT: General,Time 4,概
chéng,GT: city,Location 5,城
fù,GT: Attached,Location 5,附
Yuán; yuán,GT: garden,Location 5,园
chéng shì,GT: city,Location 5,城市
fù jìn,GT: nearby,Location 5,附近
gōng yuán,GT: park,Location 5,公园
tú,GT: Map,Location 5,图
Fāng; fāng,GT: How to,Location 5,方
zhōng jiān,GT: intermediate,Location 5,中间
tú shū guǎn,GT: library,Location 5,图书馆
dì fāng; dì fang,GT: local,Location 5,地方
shàng miàn,GT: On,Location 5,上面
xià miàn; xià miàn,GT: below,Location 5,下面
kā fēi guǎn,GT: coffee shop,Location 5,咖啡馆
shé; zhē; zhé,GT: fold,Shopping 4,折
Jué; jiǎo; jué,GT: angle,Shopping 4,角
Huā; huā,GT: flower,Shopping 4,花
dǎ zhé,GT: Discount,Shopping 4,打折
jiù,GT: old,Shopping 4,旧
Pí; pí,GT: skin,Shopping 4,皮
huàn,GT: change,Shopping 4,换
pí xié,GT: leather shoes,Shopping 4,皮鞋
jīng guò,GT: through,Shopping 4,经过
tuì huò,GT: Returns,Shopping 4,退货
tuì kuǎn,GT: Refund,Shopping 4,退款
tuì,GT: Retreat,Shopping 4,退
huò,GT: goods,Shopping 4,货
kuǎn,GT: paragraph,Shopping 4,款
dài zi,GT: bag,Shopping 4,袋子
guàn,GT: used,Daily Routine 2,惯
shuā; shuà,GT: brush,Daily Routine 2,刷
xí guàn,GT: habit,Daily Routine 2,习惯
shuā yá,GT: Brush teeth,Daily Routine 2,刷牙
mǎ shàng,GT: immediately,Daily Routine 2,马上
yǐ hòu,GT: after,Daily Routine 2,以后
zǎo,GT: bath,Daily Routine 2,澡
zǒng,GT: total,Daily Routine 2,总
xǐ zǎo,GT: Bathe,Daily Routine 2,洗澡
yī biān,GT: One side,Daily Routine 2,一边
zǒng shì,GT: always,Daily Routine 2,总是
jiǎng,GT: speak,Daily Routine 2,讲
gù,GT: Therefore,Daily Routine 2,故
gù shì; gù shi,GT: story,Daily Routine 2,故事
yǐ qián,GT: before,Daily Routine 2,以前
zuò mèng,GT: dream,Daily Routine 2,做梦
mèng,GT: dream,Daily Routine 2,梦
chú,GT: except,Food 3,除
qí,GT: its,Food 3,其
jiǎo,GT: dumpling,Food 3,饺
běi fāng,GT: north,Food 3,北方
chú le,GT: apart from,Food 3,除了
qí tā,GT: other,Food 3,其他
jiǎo zi,GT: Dumplings,Food 3,饺子
là,GT: hot,Food 3,辣
jí,GT: pole,Food 3,极
kǔ,GT: bitter,Food 3,苦
yán,GT: salt,Food 3,盐
Xián; xián; xián,GT: salty,Food 3,咸
Nán; nán,GT: south,Food 3,南
nán fāng,GT: south,Food 3,南方
nán chī,GT: Unpalatable,Food 3,难吃
jí,GT: level,People 3,级
gè zi,GT: Stature,People 3,个子
nián jí,GT: grade,People 3,年级
xiǎo xué,GT: primary school,People 3,小学
chū zhōng,GT: junior high school,People 3,初中
chū,GT: First,People 3,初
jiào,GT: Relatively,People 3,较
nián qīng,GT: young,People 3,年轻
bǐ jiào,GT: Compare,People 3,比较
yǎn jìng,GT: glasses,People 3,眼镜
Dài; dài,GT: wore,People 3,戴
jìng,GT: mirror,People 3,镜
xiān,GT: first,Location 6,先
rán hòu,GT: then,Location 6,然后
xī biān,GT: The west,Location 6,西边
dōng bian,GT: The east,Location 6,东边
běi biān,GT: North,Location 6,北边
yī zhí,GT: Up,Location 6,一直
zuì hòu,GT: At last,Location 6,最后
nán bian,GT: South,Location 6,南边
Zhí; zhí,GT: straight,Location 6,直
mí lù,GT: get lost,Location 6,迷路
dì zhǐ,GT: address,Location 6,地址
zhōu wéi,GT: around,Location 6,周围
mí,GT: fan,Location 6,迷
zhǐ,GT: site,Location 6,址
Wéi; wéi,GT: Enclose,Location 6,围
bān; pán,GT: Sort,Daily Routine 3,般
liáo,GT: chat,Daily Routine 3,聊
liáo tiān,GT: to chat with,Daily Routine 3,聊天
yī bān,GT: general,Daily Routine 3,一般
jiàn miàn,GT: meet,Daily Routine 3,见面
zì jǐ,GT: Own,Daily Routine 3,自己
yī gè rén,GT: A person,Daily Routine 3,一个人
zì,GT: from,Daily Routine 3,自
jǐ,GT: already,Daily Routine 3,己
zhèng; zhèng,GT: certificate,Travel 2,证
qiān; qiān,GT: sign,Travel 2,签
hù,GT: Protect,Travel 2,护
hù zhào,GT: passport,Travel 2,护照
qiān zhèng,GT: visa,Travel 2,签证
fā xiàn,GT: Find,Travel 2,发现
qǐ fēi,GT: take off,Travel 2,起飞
lí kāi,GT: go away,Travel 2,离开
jiǎn chá,GT: an examination,Travel 2,检查
xíng li,GT: Baggage,Travel 2,行李
ān quán,GT: Safety,Travel 2,安全
jiǎn,GT: Check,Travel 2,检
Zhā; chá; zhā,GT: check,Travel 2,查
jī hū,GT: almost,Travel 2,几乎
wàng jì,GT: forget,Travel 2,忘记
hǎi guān,GT: Customs,Travel 2,海关
wàng,GT: forget,Travel 2,忘
jì,GT: Remember,Travel 2,记
hū,GT: Down,Travel 2,乎
yán,GT: Speech,Languages 2,言
Yì; yì,GT: easy,Languages 2,易
Róng; róng,GT: Allow,Languages 2,容
zhǒng; zhòng,GT: Kind,Languages 2,种
róng yì,GT: easily,Languages 2,容易
yǔ yán,GT: Language,Languages 2,语言
gēng; gèng,GT: more,Languages 2,更
nǔ lì,GT: Strive,Languages 2,努力
hàn zì,GT: Chinese character,Languages 2,汉字
nǔ,GT: Strive,Languages 2,努
tí gāo,GT: improve,Languages 2,提高
shuǐ píng,GT: Level,Languages 2,水平
hòu lái,GT: later,Languages 2,后来
tí,GT: mention,Languages 2,提
Píng; píng,GT: level,Languages 2,平
kàn qǐ lai,GT: Looks,Personality and Feelings,看起来
qí guài,GT: strange,Personality and Feelings,奇怪
shēng qì,GT: pissed off,Personality and Feelings,生气
jǐn zhāng,GT: tension,Personality and Feelings,紧张
jī; qí,GT: odd,Personality and Feelings,奇
guài,GT: strange,Personality and Feelings,怪
jǐn,GT: tight,Personality and Feelings,紧
nán guò,GT: Sorry,Personality and Feelings,难过
kū,GT: cry,Personality and Feelings,哭
kě pà,GT: terrible,Personality and Feelings,可怕
rè qíng,GT: enthusiasm,Personality and Feelings,热情
guān xīn,GT: care,Personality and Feelings,关心
jīng cháng,GT: often,Personality and Feelings,经常
yù dào,GT: Experience,Personality and Feelings,遇到
hǎo xiào,GT: funny,Personality and Feelings,好笑
Yù; yù,GT: Encounter,Personality and Feelings,遇
qiú,GT: begging,School 2,求
xiào zhǎng,GT: principal,School 2,校长
yāo qiú,GT: Claim,School 2,要求
shí táng,GT: Cafeteria,School 2,食堂
shí; sì,GT: food,School 2,食
táng,GT: Hall,School 2,堂
bì xū,GT: have to,School 2,必须
wán chéng,GT: carry out,School 2,完成
zuò yè,GT: operation,School 2,作业
gāo zhōng; gāo zhòng,GT: Senior middle school,School 2,高中
bì,GT: must,School 2,必
Chéng; chéng,GT: to make,School 2,成
xū; xū,GT: must,School 2,须
Yè; yè,GT: industry,School 2,业
Xiàng; xiàng; xiàng,GT: to,School 2,向
jiè,GT: borrow,School 2,借
bǐ jì,GT: notes,School 2,笔记
qiān bǐ,GT: pencil,School 2,铅笔
qiān,GT: lead,School 2,铅
qīng chu,GT: clear,School 2,清楚
hēi bǎn,GT: blackboard,School 2,黑板
bǐ jì běn,GT: notebook,School 2,笔记本
Qīng; qīng,GT: clear,School 2,清
Chǔ; chǔ,GT: Chu,School 2,楚
bǎn; bǎn; pàn,GT: board,School 2,板
tǐ yù guǎn,GT: stadium,School 2,体育馆
huà,GT: Of,Future,化
suàn,GT: Count,Future,算
bān,GT: move,Future,搬
biàn,GT: change,Future,变
dǎ suàn,GT: intend,Future,打算
biàn huà,GT: Variety,Future,变化
jī huì,GT: opportunity,Future,机会
liú xué,GT: Study abroad,Future,留学
guó jiā,GT: country,Future,国家
xuǎn zé,GT: select,Future,选择
xuǎn,GT: selected,Future,选
zé,GT: Choose,Future,择
jié hūn,GT: marry,Future,结婚
yuàn yì,GT: willing,Future,愿意
rèn zhēn,GT: serious,Future,认真
jiē; jié,GT: Knot,Future,结
yuàn; yuàn,GT: willing,Future,愿
hūn,GT: marriage,Future,婚
dāng rán,GT: of course,Future,当然
fàng xīn,GT: rest assured,Future,放心
hài pà,GT: Afraid,Future,害怕
dāng; dāng; dàng,GT: when,Future,当
hài,GT: harm,Future,害
Pà; pà,GT: afraid,Future,怕
fēn shǒu,GT: Breaking up,Future,分手
jìng,GT: territory,Environment,境
Huán; huán,GT: ring,Environment,环
céng,GT: Floor,Environment,层
fāng biàn,GT: Convenience,Environment,方便
huán jìng,GT: surroundings,Environment,环境
cǎo,GT: grass,Environment,草
tài yang,GT: sun,Environment,太阳
xīng xing,GT: star,Environment,星星
yáng,GT: Positive,Environment,阳
ān jìng,GT: be quiet,Environment,安静
Lóu; lóu,GT: floor,Environment,楼
jìng,GT: Quiet,Environment,静
shēng yīn,GT: sound,Environment,声音
yǐng xiǎng,GT: influences,Environment,影响
lín jū,GT: neighbor,Environment,邻居
shēng,GT: sound,Environment,声
lín,GT: adjacent,Environment,邻
xiǎng,GT: ring,Environment,响
Jū; jī; jū,GT: House,Environment,居
lā jī,GT: Rubbish,Environment,垃圾
tǒng,GT: barrel,Environment,桶
diū,GT: throw,Environment,丢
zàng; zāng,GT: dirty,Environment,脏
lā,GT: garbage,Environment,垃
jī,GT: Rubbish,Environment,圾
Xiān sheng; xiān sheng,GT: Mr,Work,先生
xiǎo jie,GT: Young lady,Work,小姐
jīng lǐ,GT: manager,Work,经理
tóng shì,GT: colleague,Work,同事
tū rán,GT: suddenly,Work,突然
zhòng yào,GT: important,Work,重要
huì yì,GT: meeting,Work,会议
tū,GT: Sudden,Work,突
chóng; zhòng,GT: weight,Work,重
yì,GT: Discuss,Work,议
jiě jué,GT: solve,Work,解决
bàn fǎ,GT: Method,Work,办法
xiāng xìn,GT: Believe,Work,相信
jué,GT: Decide,Work,决
Xiè; jiě; jiè; xiè,GT: solution,Work,解
jiè,GT: boundary,Culture,界
hé,GT: River,Culture,河
Shì; shì,GT: world,Culture,世
Huáng Hé,GT: Yellow River,Culture,黄河
dòng wù,GT: animal,Culture,动物
yǒu míng,GT: Famous,Culture,有名
shì jiè,GT: world,Culture,世界
Cháng Jiāng,GT: Yangtze,Culture,长江
Jiāng; jiāng,GT: River,Culture,江
duō me,GT: how,Culture,多么
xióng māo,GT: panda,Culture,熊猫
Xī ān,GT: Xi'an,Culture,西安
ā; á; ǎ; à; a,GT: what,Culture,啊
Xióng; xióng,GT: Bear,Culture,熊
Cháng chéng,GT: Great Wall,Culture,长城
Gù gōng; gù gōng,GT: Forbidden City,Culture,故宫
Gōng; gōng,GT: palace,Culture,宫
Shān; shān,GT: mountain,Hobbies 3,山
zhě,GT: Person,Hobbies 3,者
pá,GT: climb,Hobbies 3,爬
huò,GT: or,Hobbies 3,或
zì xíng chē,GT: bicycle,Hobbies 3,自行车
huò zhě,GT: or,Hobbies 3,或者
pá shān,GT: Climb,Hobbies 3,爬山
gōng fu,GT: effort,Hobbies 3,功夫
gōng,GT: Gong,Hobbies 3,功
wén huà,GT: culture,Hobbies 3,文化
lì shǐ,GT: history,Hobbies 3,历史
xìng qù,GT: interest,Hobbies 3,兴趣
gǎn xìng qù,GT: Interested,Hobbies 3,感兴趣
lì; lì,GT: calendar,Hobbies 3,历
qù,GT: interest,Hobbies 3,趣
Shǐ; shǐ,GT: history,Hobbies 3,史
wèi le,GT: in order to,Hobbies 3,为了
tè bié,GT: particular,Hobbies 3,特别
liǎo jiě; liǎo jiě,GT: To understanding,Hobbies 3,了解
má jiàng,GT: Mahjong,Hobbies 3,麻将
tè,GT: special,Hobbies 3,特
Má; má,GT: hemp,Hobbies 3,麻
jiāng; jiàng; qiāng,GT: will,Hobbies 3,将
Gù; gù,GT: Attend,Health 3,顾
sǐ,GT: dead,Health 3,死
mēn; mèn,GT: stuffy,Health 3,闷
tuǐ; tuǐ,GT: leg,Health 3,腿
zhào gu,GT: Look after,Health 3,照顾
gōng jīn,GT: kg,Health 3,公斤
zháo jí,GT: Worry,Health 3,着急
shòu,GT: thin,Health 3,瘦
jīn,GT: jin,Health 3,斤
jí,GT: anxious,Health 3,急
ké sou,GT: cough,Health 3,咳嗽
chōu yān,GT: smokes,Health 3,抽烟
hāi; ké,GT: cough,Health 3,咳
sòu,GT: cough,Health 3,嗽
chōu,GT: Draw,Health 3,抽
yān,GT: smoke,Health 3,烟
jì,GT: The occasion,Travel 3,际
jǔ; guì,GT: cabinet,Travel 3,柜
zhuǎi; zhuǎn; zhuàn,GT: turn,Travel 3,转
zhuǎn jī,GT: Connection,Travel 3,转机
guì tái,GT: counter,Travel 3,柜台
guó jì,GT: International,Travel 3,国际
huàn qián,GT: Change money,Travel 3,换钱
yín háng,GT: bank,Travel 3,银行
chōng diàn,GT: Charging,Travel 3,充电
guó nèi,GT: domestic,Travel 3,国内
yín,GT: silver,Travel 3,银
chōng,GT: Charge,Travel 3,充
nèi,GT: Inside,Travel 3,内
chōng zhí,GT: Recharge,Travel 3,充值
màn yóu,GT: roaming,Travel 3,漫游
diàn huà kǎ,GT: phone card,Travel 3,电话卡
zhí,GT: value,Travel 3,值
dìng fáng,GT: Booking,Travel 3,订房
tuì fáng,GT: check out,Travel 3,退房
qǔ xiāo,GT: cancel,Travel 3,取消
dǎo yóu,GT: Tourist guide,Travel 3,导游
qǔ,GT: take,Travel 3,取
dǎo,GT: guide,Travel 3,导
xiāo,GT: Eliminate,Travel 3,消
dā; dá,GT: answer,Languages 3,答
jù,GT: sentence,Languages 3,句
jiǎn,GT: simple,Languages 3,简
jiǎn dān,GT: simple,Languages 3,简单
jù zi,GT: sentence,Languages 3,句子
huí dá,GT: Reply,Languages 3,回答
cí diǎn,GT: dictionary,Languages 3,词典
yìng yòng,GT: application,Languages 3,应用
yǔ fǎ,GT: grammar,Languages 3,语法
liú lì,GT: fluent,Languages 3,流利
cí,GT: word,Languages 3,词
liú,GT: flow,Languages 3,流
diǎn,GT: Code,Languages 3,典
xià zǎi,GT: download,Languages 3,下载
duō lín guó,GT: Duolingo,Languages 3,多邻国
fān yì,GT: translation,Languages 3,翻译
fān,GT: turn,Languages 3,翻
zǎi; zài,GT: Load,Languages 3,载
yì,GT: Translate,Languages 3,译
bǎ; bà,GT: The,House,把
dēng,GT: light,House,灯
kōng tiáo,GT: air conditioning,House,空调
huà,GT: painting,House,画
chú fáng,GT: kitchen,House,厨房
kè tīng,GT: living room,House,客厅
chú,GT: Kitchen,House,厨
tīng,GT: hall,House,厅
kè rén,GT: The guests,House,客人
dǎ sǎo,GT: clean,House,打扫
gān jìng,GT: clean,House,干净
sǎo; sào,GT: sweep,House,扫
jìng,GT: net,House,净
diàn tī,GT: elevator,House,电梯
huài,GT: Bad,House,坏
bèi,GT: Is,House,被
cè suǒ,GT: WC,House,厕所
cè; sì,GT: toilet,House,厕
tī,GT: ladder,House,梯
hán,GT: cold,Exam,寒
shǔ,GT: Heat,Exam,暑
fù; fù,GT: complex,Exam,复
jì de,GT: remember,Exam,记得
fù xí,GT: review,Exam,复习
shù xué,GT: mathematics,Exam,数学
fàng jià,GT: holiday,Exam,放假
shǔ jià,GT: summer vacation,Exam,暑假
hán jià,GT: winter vacation,Exam,寒假
zhōng yú,GT: at last,Exam,终于
jié shù,GT: End,Exam,结束
fàng sōng,GT: Relax,Exam,放松
Dà xué; dà xué,GT: the University,Exam,大学
zhōng,GT: end,Exam,终
Yú; yú; yú,GT: to,Exam,于
Shù; shù,GT: bundle,Exam,束
chéng jì,GT: Achievement,Exam,成绩
dān xīn,GT: worry,Exam,担心
zhuān yè,GT: profession,Exam,专业
dān; dàn,GT: Dan,Exam,担
zhuān,GT: Special,Exam,专
jì,GT: Merit,Exam,绩
Jǐng; jǐng,GT: view,Travel 4,景
jiē,GT: street,Travel 4,街
dì tú,GT: map,Travel 4,地图
jiē dào,GT: street,Travel 4,街道
hóng lǜ dēng,GT: traffic light,Travel 4,红绿灯
fēng jǐng,GT: landscape,Travel 4,风景
sī jī,GT: driver,Travel 4,司机
jiē,GT: Meet,Travel 4,接
miǎn fèi,GT: free,Travel 4,免费
dǎ chē,GT: A taxi,Travel 4,打车
guān guāng,GT: go sightseeing,Travel 4,观光
miǎn,GT: Avoid,Travel 4,免
Guàn; guān; guàn,GT: Watch,Travel 4,观
guāng,GT: Light,Travel 4,光
xiǎo xīn,GT: Be careful,Travel 4,小心
shí chā,GT: jet lag,Travel 4,时差
mǎ lù,GT: road,Travel 4,马路
cān guān,GT: Visit,Travel 4,参观
bó wù guǎn,GT: museum,Travel 4,博物馆
bó,GT: Rich,Travel 4,博
ān pái,GT: arrangement,Travel 4,安排
huó dòng,GT: activity,Travel 4,活动
biǎo yǎn,GT: Performance,Travel 4,表演
hǎi biān,GT: seaside,Travel 4,海边
huó,GT: live,Travel 4,活
yǎn,GT: play,Travel 4,演
yóu,GT: mail,Communication 2,邮
gāng cái; gāng cái,GT: Just now,Communication 2,刚才
diàn zǐ yóu jiàn,GT: e-mail,Communication 2,电子邮件
zhǔ yào,GT: main,Communication 2,主要
duǎn xìn,GT: SMS,Communication 2,短信
guān yú,GT: on,Communication 2,关于
zhǔ,GT: the Lord,Communication 2,主
dēng lù,GT: log in,Communication 2,登录
mì mǎ,GT: password,Communication 2,密码
xìn hào,GT: signal,Communication 2,信号
dēng,GT: Ascend,Communication 2,登
Mì; mì,GT: dense,Communication 2,密
Lù; lù,GT: record,Communication 2,录
Duàn; duàn,GT: segment,Communication 2,段
qí shí,GT: in fact,Communication 2,其实
guò qù; guò qu,GT: past,Communication 2,过去
Tán; tán,GT: talk,Communication 2,谈
shí,GT: real,Communication 2,实
tóng yì,GT: agree,Work 2,同意
jué dìng,GT: Decide,Work 2,决定
gēn jù,GT: according to,Work 2,根据
shēng zhí,GT: Promotion,Work 2,升职
gēn,GT: root,Work 2,根
jū; jù,GT: according to,Work 2,据
shēng,GT: Rise,Work 2,升
zhí,GT: Office,Work 2,职
mǎn yì,GT: satisfaction,Work 2,满意
rèn wéi,GT: think,Work 2,认为
chū chāi,GT: On a business trip,Work 2,出差
biǎo xiàn,GT: which performed,Work 2,表现
Mǎn; mǎn,GT: full,Work 2,满
Lǎo bǎn; lǎo bǎn,GT: boss,Work 2,老板
má fan,GT: trouble,Work 2,麻烦
kāi huì,GT: Meetings,Work 2,开会
miàn shì,GT: Interview,Work 2,面试
fán,GT: bother,Work 2,烦
bǐng,GT: cake,Festivals,饼
yuè liang,GT: moon,Festivals,月亮
yuè bǐng,GT: moon cake,Festivals,月饼
Zhōng qiū jié,GT: Mid-Autumn Festival,Festivals,中秋节
yuán,GT: circle,Festivals,圆
gōng xǐ,GT: Congratulation,Festivals,恭喜
hóng bāo,GT: Red envelope,Festivals,红包
tāng yuán,GT: Dumpling,Festivals,汤圆
jù huì,GT: get together,Festivals,聚会
fā cái,GT: Make a fortune,Festivals,发财
gōng,GT: Respectful,Festivals,恭
jù,GT: Gather,Festivals,聚
cái,GT: fiscal,Festivals,财
Duān wǔ jié,GT: Dragon boat festival,Festivals,端午节
zòng zi,GT: Zongzi,Festivals,粽子
huá; huá; huà,GT: Draw,Festivals,划
lóng zhōu,GT: Dragon Boat,Festivals,龙舟
duān,GT: end,Festivals,端
zòng,GT: Dumplings,Festivals,粽
Lóng; lóng,GT: Dragon,Festivals,龙
zhōu,GT: boat,Festivals,舟
zhū,GT: Pearl,Gourmet 2,珠
Tāng; shāng; tāng,GT: soup,Gourmet 2,汤
suān,GT: acid,Gourmet 2,酸
zhēn,GT: Treasure,Gourmet 2,珍
zhēn zhū nǎi chá,GT: Pearl milk tea,Gourmet 2,珍珠奶茶
suān là tāng,GT: Hot and sour soup,Gourmet 2,酸辣汤
Běi jīng kǎo yā,GT: Peking duck,Gourmet 2,北京烤鸭
chūn juǎn,GT: Spring Rolls,Gourmet 2,春卷
dòu huā,GT: Curd,Gourmet 2,豆花
kǎo,GT: grilled,Gourmet 2,烤
yā,GT: duck,Gourmet 2,鸭
juǎn; juàn; juǎn,GT: volume,Gourmet 2,卷
gōng bǎo jī dīng,GT: Kung Pao Chicken,Gourmet 2,宫保鸡丁
lǔ ròu fàn,GT: Braised pork on rice,Gourmet 2,卤肉饭
mán tou,GT: steamed bread,Gourmet 2,馒头
Bǎo; bǎo,GT: Insurance,Gourmet 2,保
lǔ; lǔ,GT: halogen,Gourmet 2,卤
mán,GT: steamed bread,Gourmet 2,馒
Dīng; dīng,GT: Ding,Gourmet 2,丁
háo,GT: Howe,Internet Slang,豪
zhái,GT: House,Internet Slang,宅
Tǔ; tǔ,GT: soil,Internet Slang,土
tǔ háo,GT: Local tycoon,Internet Slang,土豪
chī huò,GT: Food goods,Internet Slang,吃货
zhái nán,GT: Takuotoko,Internet Slang,宅男
cài niǎo,GT: Rookie,Internet Slang,菜鸟
měi tú,Chinese photography editing app,Internet Slang,美图
méng,GT: Sprout,Internet Slang,萌
zì pāi,GT: Selfie,Internet Slang,自拍
jiǒng,GT: Oops,Internet Slang,囧
měi méi,GT: Meimei,Internet Slang,美眉
gāo fù shuài,"GT: Tall, rich and handsome",Internet Slang,高富帅
méi,GT: eyebrow,Internet Slang,眉
Fù; fù,GT: rich,Internet Slang,富
wēi bó,GT: BiHiroshi,Internet Slang,微博
Wēi xìn,GT: Micro letter,Internet Slang,微信
Péng you quān,GT: Circle of friends,Internet Slang,朋友圈
Wēi; wēi,GT: micro-,Internet Slang,微
juān; juàn; quān,GT: ring,Internet Slang,圈
guān zhù,GT: attention,Internet Slang,关注
zàn,GT: awesome,Internet Slang,赞
zhuǎn fā,GT: Forwarded,Internet Slang,转发
hǎo yǒu,GT: Friends,Internet Slang,好友
fěn sī,GT: Fans,Internet Slang,粉丝
fēn xiǎng,GT: share it,Internet Slang,分享
píng lùn,GT: comment,Internet Slang,评论
fěn,GT: powder,Internet Slang,粉
sī,GT: wire,Internet Slang,丝
xiǎng,GT: enjoy,Internet Slang,享
píng,GT: Review,Internet Slang,评
Lún; lùn,GT: s,Internet Slang,论
xiāo,GT: pin,Business 1,销
shōu jù,GT: receipt,Business 1,收据
bào xiāo,GT: Submit an expense account,Business 1,报销
fèi yòng,GT: cost,Business 1,费用
jǐn kuài; jìn kuài,GT: ASAP,Business 1,尽快
huí fù,GT: Reply,Business 1,回复
bào gào,GT: report,Business 1,报告
xié yì,GT: protocol,Business 1,协议
jǐn; jìn,GT: Exhausted,Business 1,尽
xié,GT: Assist,Business 1,协
hé tong,GT: contract,Business 1,合同
xiàng mù,GT: project,Business 1,项目
qiān míng,GT: signature,Business 1,签名
huì bào; huì bào,GT: report,Business 1,汇报
gě; hé,GT: Close,Business 1,合
Xiàng; xiàng,GT: item,Business 1,项
huì; huì,GT: exchange,Business 1,汇
guǎng gào,GT: ad,Business 1,广告
yù suàn,GT: budget,Business 1,预算
zī běn,GT: capital,Business 1,资本
dī,GT: low,Business 1,低
Guǎng; guǎng,GT: wide,Business 1,广
zī,GT: Capital,Business 1,资
xiǎn,GT: risk,Business 2,险
tóu,GT: cast,Business 2,投
bǎo xiǎn,GT: Insurance,Business 2,保险
fēng xiǎn,GT: risk,Business 2,风险
tóu zī,GT: investment,Business 2,投资
lǜ shī,GT: lawyer,Business 2,律师
bǎn quán,GT: copyright,Business 2,版权
zī xún,GT: advisory,Business 2,咨询
Lǜ; lǜ,GT: law,Business 2,律
bǎn,GT: Version,Business 2,版
zī,GT: Advisory,Business 2,咨
Quán; quán,GT: right,Business 2,权
xún,GT: Query,Business 2,询
bǎo chí,GT: maintain,Business 2,保持
lián xì,GT: contact,Business 2,联系
lián,GT: United,Business 2,联
chí,GT: hold,Business 2,持
hé zuò,GT: Cooperation,Business 2,合作
yú kuài,GT: happy,Business 2,愉快
xīn kǔ,GT: hard,Business 2,辛苦
gǎn xiè,GT: thank,Business 2,感谢
yú,GT: Discovery,Business 2,愉
Xīn; xīn,GT: Xin,Business 2,辛
shāng,GT: hurt,Emergency,伤
shòu,GT: Suffer,Emergency,受
jiù,GT: save,Emergency,救
jǐng,GT: police,Emergency,警
bào jǐng,GT: Call the police,Emergency,报警
jiù hù chē,GT: ambulance,Emergency,救护车
shòu shāng,GT: Injured,Emergency,受伤
jiù mìng,GT: Help,Emergency,救命
fā shēng,GT: occur,Emergency,发生
yì wài,GT: accident,Emergency,意外
yán zhòng,GT: serious,Emergency,严重
Yán; yán,GT: strict,Emergency,严
mìng,GT: Life,Emergency,命
tōu,GT: steal,Emergency,偷
jǐng chá,GT: Policemen,Emergency,警察
Chá; chá,GT: Observe,Emergency,察
jiǎng,GT: prize,Work 3,奖
gōng zī,GT: wage,Work 3,工资
jiā bān,GT: Overtime,Work 3,加班
jiǎng jīn,GT: bonus,Work 3,奖金
shēng yì; shēng yi,GT: business,Work 3,生意
yā lì,GT: pressure,Work 3,压力
zé rèn,GT: responsibility,Work 3,责任
shāng liang,GT: discuss,Work 3,商量
yì jiàn,GT: opinion,Work 3,意见
yā; yà,GT: Press,Work 3,压
zé,GT: responsibility,Work 3,责
Rén; rèn,GT: Any,Work 3,任
wù huì,GT: misunderstanding,Work 3,误会
bào qiàn,GT: Sorry,Work 3,抱歉
yuán liàng,GT: forgive,Work 3,原谅
wù,GT: error,Work 3,误
bào,GT: hold,Work 3,抱
Yuán; yuán,GT: original,Work 3,原
qiàn,GT: apologize,Work 3,歉
liàng,GT: Forgive,Work 3,谅
gān zào,GT: dry,Weather 2,干燥
nuǎn huo,GT: warm,Weather 2,暖和
liáng kuai,GT: Cool off,Weather 2,凉快
zào,GT: dry,Weather 2,燥
nuǎn,GT: warm,Weather 2,暖
Liáng; liáng; liàng,GT: cool,Weather 2,凉
wēn dù,GT: temperature,Weather 2,温度
dà yuē,GT: about,Weather 2,大约
Wēn; wēn,GT: temperature,Weather 2,温
yīng,GT: eagle,Duo,鹰
yǔ,GT: feather,Duo,羽
chéng,GT: Orange,Duo,橙
māo tóu yīng,GT: owl,Duo,猫头鹰
yǔ máo,GT: feather,Duo,羽毛
duō er,name of a character owl from the app Duolingo,Duo,多儿
gǔ lì,GT: encourage,Duo,鼓励
tí xǐng,GT: remind,Duo,提醒
lǎn,GT: lazy,Duo,懒
fàng qì,GT: give up,Duo,放弃
gǔ,GT: drum,Duo,鼓
Lì; lì,GT: Encourage,Duo,励
xǐng,GT: wake,Duo,醒
qì,GT: abandoned,Duo,弃
